index,season,original_episode_num,rebroadcast,title,description,duration,published_date,url,explicit
110,2015,41,Y,How We Love,"Love is instinctive and essential. We need it to keep our species going, to survive childhood, to create bonds with other people. But what is it that brings certain people together?  In this hour, TED speakers examine the mystery of connection and relationships. Amy Webb was having no luck with online dating, until she effectively hacked the system.  Anthropologist Helen Fisher questions what happens in our brains when we're in love. Therapist Esther Perel says a good relationship draws on both security and surprise. Writer Jeffrey Kluger explores the profound life-long bond between siblings. Angela Patton tells the story of a unique father-daughter dance.",60,12-Feb-15,http://www.npr.org/programs/ted-radio-hour/301821915/how-we-love?showDate=2015-02-13,
109,2015,60,N,Seven Deadly Sins,"Seven TED speakers muse about the seven deadly sins: Psychologist Christopher Ryan says human beings are sexual omnivores, and a more nuanced understanding of fidelity may tamp down our shame about lust.  Oklahoma City Mayor Mick Cornett explains how his city sidestepped gluttony and collectively dropped one million pounds. Activist Dave Meslin says even though we’re apathetic about local politics, we’re hardly sloths. Dr. Gary Slutkin tracks violence, the destructive sibling of wrath. He says if we think of violence as a contagious disease, we can better contain it. Nick Hanauer is a rich guy with at least five houses, but is he greedy? He argues taxing the very rich and increasing the minimum wage would be good for everyone. Editor Parul Sehgal says literature would hardly exist without the “grim thrill” of envy. Jeopardy Know-it-All Ken Jennings reveals how losing to a supercomputer crushed his pride.",60,5-Feb-15,http://www.npr.org/programs/ted-radio-hour/378567196/seven-deadly-sins?showDate=2015-02-06,
108,2015,43,Y,What We Fear,"Human beings have a fine-tuned sense of fear. But how do we distinguish between fear and danger? How do we decide which fears are rational and irrational? In this hour, TED speakers explore what it means to be afraid, and how we calm ourselves down — or don’t — when we’re terrified. Astronaut and retired colonel Chris Hadfield discusses how to prepare your mind for the unexpected, and the worst. Through the story of the whaleship Essex, novelist Karen Thompson Walker describes how our most vivid fears are often not the most realistic. Folk singer Joe Kowan talks about the visceral, body-hijacking experience he feels when he’s performing in front of an audience, and how a song helped him cope with stage fright. Illusionist and endurance artist David Blaine reveals how he has made a career out of fearlessly performing death-defying feats. Philosopher Stephen Cave delves into the simple question: Why are human beings afraid to die?",60,30-Jan-15,http://www.npr.org/programs/ted-radio-hour/312542881/what-we-fear?showDate=2015-01-30,
107,2015,59,N,Keeping Secrets,"Who should get to keep secrets, and who should demand to know them? In this hour, TED speakers talk about the damage secrets can do, and the shifting roles we play when we keep, or share them. ""Secrets...can be shocking, or silly, or soulful,"" says Frank Warren, the founder of PostSecret. He shares a few of the half-million secrets that strangers have sent him on postcards. Equality advocate Ash Beckham offers a fresh story about empathy and openness — and it involves pancakes. Charmian Gooch's mission is to “out” corrupt companies. She details how global corruption trackers follow the money — to some surprisingly familiar places. Journalist Glenn Greenwald makes the case for why you need to care about privacy, even if you’re “not doing anything to hide.""",60,23-Jan-15,http://www.npr.org/programs/ted-radio-hour/377505449/keeping-secrets?showDate=2015-01-23,
106,2015,42,Y,Brand Over Brain,"Brands help us assign value to almost everything we buy. But is there a way to know the difference between real and created value? In this episode, TED speakers explore the seductive power of brands. Filmmaker Morgan Spurlock tells the story of his quest to make a completely sponsored film-- about sponsorship. Psychologist Paul Bloom argues that our beliefs about the history of an object change how we perceive it. Consultant Joseph Pine says we’ll pay more for an experience that feels “real.” Marketer Rory Sutherland explains how rebranding changed the potato forever.",60,16-Jan-15,http://www.npr.org/programs/ted-radio-hour/308752278/brand-over-brain?showDate=2015-01-16,
105,2015,58,N,In Search Of ,"How far would you go to find something that’s just out of reach, or maybe, not even real? In this hour, TED speakers tell stories about searching for elusive sea-creatures and distant aliens. SETI astronomer Seth Shostak says we’re likely to find proof of intelligent life in the universe over the next few decades. Oceanographer Edith Widder explains how innovative technology helped her capture the reclusive giant squid on video. Chef Dan Barber talks about his quest to find a delectable, yet sustainable, fish. Finally, humorist John Hodgman looks hard for aliens too, but finds love instead. ",60,9-Jan-15,http://www.npr.org/programs/ted-radio-hour/373978505/in-search-of?showDate=2015-01-09,
104,2015,31,Y,Misconceptions,"There are some truths that we believe in wholeheartedly — but what if we’re completely wrong? Once we separate fact from fiction, how do our perceptions change?  In this hour, TED speakers move beyond conventional wisdom to reveal complex realities about what we think we know to be true. Author Malcolm Gladwell reveals an alternative account of David and Goliath that flips the story on its head. Reporter Leslie T. Chang debunks how we assume Chinese factory workers feel. Ecologist Allan Savory counters everything conventional wisdom tells us about how grasslands lose their life to desertification. Reporter Jennifer 8. Lee talks about her hunt for the actual origins of Chinese-American food. Psychologist Barry Schwartz says having more options doesn't make us happier — it actually paralyzes us.",60,2-Jan-15,http://www.npr.org/2013/11/05/243293489/misconceptions?showDate=2015-01-02,
103,2014,19,Y,Memory Games,"Memory is malleable, dynamic and elusive. When we tap into our memories, where is the line between fact and fiction? How does our memory play tricks on us, and how can we train it to be more accurate? In this hour, TED speakers discuss how a nimble memory can improve your life, and how a frail one might ruin someone else's. Forensic psychologist Scott Fraser argues that in a criminal trial, even close-up eyewitnesses can create ""memories"" they may not have seen. Nobel laureate Daniel Kahneman explains how our experiences and our memories perceive happiness differently. Writer Joshua Foer shows how anyone can achieve amazing feats of memory, including him.",60,24-Dec-14,http://www.npr.org/2013/05/09/182667116/memory-games?showDate=2014-12-24,
102,2014,57,N,Just A Little Nicer,"Compassion is considered a universal virtue, but is it innate or taught? Have we lost touch with it? And can we become better at it? In this hour, TED speakers explore compassion, its roots, its meaning and its future. Political pundit Sally Kohn says we shouldn’t worry so much about being politically correct, but instead should try to be emotionally correct. Journalist and broadcaster Krista Tippett argues that overtly saintly and sappy connotations have made us lose touch with the true meaning of compassion — so she proposes a ‘linguistic revival.’ Author Robert Wright explains that humans are not only wired to be compassionate, but we have evolved to feel compassion out of self-interest. Religion scholar Karen Armstrong explains how compassion is the core principle in all world religions — in the form of the Golden Rule. Daniel Goleman, author of Emotional Intelligence, examines why we aren't more compassionate more of the time.",60,19-Dec-14,http://www.npr.org/programs/ted-radio-hour/371276520/just-a-little-nicer?showDate=2014-12-19,
101,2014,56,N,Courage,"What does it mean to be courageous? Is it an automatic response or a conscious choice? In this hour, TED speakers examine the nature of courage and what it takes to risk everything to do the right thing. Margaret Heffernan looks at why we keep ourselves from seeing injustices, and the courage it takes to stand up and combat them. As a war reporter, Janine di Giovanni goes to some of the most dangerous places on earth and tells the story people who demonstrate courage daily. Kimberly Motley defends Afghan women and girls forced into marriage or wrongly accused of adultery, and she does this without a bodyguard, a headscarf or speaking the language. Leana Wen has launched a campaign to expose systemic corruption in the medical field, despite threats from fellow doctors. ",60,12-Dec-14,http://www.npr.org/programs/ted-radio-hour/368757408/courage?showDate=2014-12-12,
