Index,season,original_episode,rebroadcast,title,description,duration,published_date,url,explicit
250,2015,250,N,Al Madrigal, Al Madrigal (comedy! The Daily Show!) makes it weird! ,1:30:35,2/18/15,http://youmadeitweird.libsyn.com/al-madrigal,Y
249,2015,249,N,Drew Michael, Drew Michael (comedy!) makes it weird! ,2:12:44,2/11/15,http://youmadeitweird.libsyn.com/drew-michael,Y
248,2015,248,N,Live From Chicago!," Live from Chicago with Chris Thayer, the Puterbaugh Sisters (Tiffany and Danielle), Sean Flannery and CJ Sullivan! ",1:44:51,2/6/15,http://youmadeitweird.libsyn.com/live-from-chicago-0,Y
247,2015,247,N,"""Weird Al"" Yankovic"," ""Weird Al"" Yankovic makes it....weird! ",1:21:22,2/4/15,http://youmadeitweird.libsyn.com/weird-al-yankovic,Y
246,2015,246,N,Live From SF Sketchfest 2015," Live from SF Sketchfest with Emo Phillips, Charlie Sanders, Cameron Esposito and Rhea Butcher! ",1:32:06,1/28/15,http://youmadeitweird.libsyn.com/live-from-sf-sketchfest-2015,Y
245,2015,245,N,Grace Helbig, Grace Helbig (comedy! Youtube! Not Too Deep podcast!) makes it weird! ,2:01:03,1/21/15,http://youmadeitweird.libsyn.com/grace-helbig,Y
244,2015,244,N,Henry Rollins, Henry Rollins (Black Flag!) makes it weird! ,2:22:08,1/14/15,http://youmadeitweird.libsyn.com/henry-rollins,Y
243,2015,243,N,Live at Toronto plus One-on-One with Brody Stevens," A special double episode, it's a live show from JFL Toronto 2014 with Joe DeRosa, DeAnne Smith, Johnny Pemberton, and Brody Stevens! Then Brody returns for a one-on-one at the end! ",2:23:26,1/7/15,http://youmadeitweird.libsyn.com/live-at-toronto-plus-one-on-one-with-brody-stevens,Y
242,2014,242,N,Russell Peters, Russell Peters (world famous comedian!) makes it weird! ,2:41:37,12/31/14,http://youmadeitweird.libsyn.com/russell-peters,Y
241,2014,241,N,Live From Madison," Kevin Bozeman, Chad Daniels and Isaac Witty make it weird live at Comedy on State in Madison, Wisconsin! ",1:22:25,12/19/14,http://youmadeitweird.libsyn.com/live-from-madison,Y
