season,episode_num,title,description,duration,published_date,url,explicit
1995,1,New Beginnings,"Ira talks with Joe Franklin, host of the longest running talk show in television history, to get advice for his new radio show. (6 minutes)

After he goes to Jerusalem and sleeps on what is supposedly the very spot where Jesus was crucified, Kevin Kelly has a revelation: that he should live the next six months as if he would die at the end of them. So he gives away nearly everything he owns, and tries to live each day as if his death is imminent — which turns out to be a great challenge. This story was eventually used in a much later program, Shoulda Been Dead. At the time of this interview, Kevin Kelly was executive editor of Wired magazine. Now he's a contributing editor there, and also runs the Cool Tools website. (23 minutes)

Ira calls his parents Shirley Glass and Barry Glass in Baltimore to ask them for advice about his new radio show. (7 minutes)

When filmmaker and performance artist Lawrence Steger found out he was HIV positive, he was just about to go out on across country road trip with a friend of his. (13 minutes)

Ira talks with Ed Ryder, who was wrongly imprisoned for twenty years and recently released. The whole time Ryder was in prison, he dreamt of starting up a band. Now, out of prison, he's done just that. Ira asks him if music means different things to him now that his future is more his own. We replayed his rendition of ""God Bless the Child"" in the show Lockup. (9 minutes)

",60,"Nov 17, 1995",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=1,""
1995,2,Small Scale Sin,"The Golden Peacock. Playwright Jeff Dorchen creates an original radio play inspired by the musings of the three boys in the previous story. (10 minutes)

Poet Michael Warr talks with Ira and reads some of his poems inspired by his childhood. Warr grew up as a Jehovah's Witness and found that he had some problems with the religion's rules.  He is the author of several books of poetry. (8 minutes)

In the 1990s, Eli was a member of MOD, one of the most infamous and accomplished computer hacking groups in history. He was eventually arrested and served time in a minimum-security prison and home confinement. It turns out that the very sins he committed that led him to serve time were more in demand in prison than they ever were on the outside. (26 minutes)

",60,"Nov 24, 1995",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=2,""
1995,3,Poultry Slam 1995,"Duki's story. When Danielle's family serves poultry at their dinner table, no one utters the word ""chicken."" Instead, it is always called ""fish."" Danielle explains why with the help of her friend ""Duki."" (20 minutes)

Julie Showalter, who grew up on a turkey farm, tells the story of the night 3,000 turkeys died. (8 minutes)

A poultry-themed poem by Luis Rodriguez. (4 minutes)

Verda Mae Grosvenor, host of NPR's Seasonings, shows Ira how to tell a chicken is done simply by listening the sound of the grease. (6 minutes)

Writer David Sedaris tells of the giddiness he felt when he purchased a taxidermy turkey head — attached to its foot. (3 minutes)

",60,"Dec 1, 1995",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=3,""
1995,4,Vacations,"Host Ira Glass shares photos (on the radio) of his family vacation in Hawaii. He poses the question: What can families do on vacation that make them feel closer? (9 minutes)

Writer/singer/performer Sandra Tsing Loh reads a story about a family vacation arranged by her mother, who believed that vacations couldn't be merely for leisure—they had to be educational. Which is how the family ended up vacationing in...Ethiopia. (22 minutes)

Contributor David Sedaris tells a story about discovering the possibilities—and pitfalls—of travel by hitchhiking. (25 minutes)

",60,"Dec 8, 1995",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=4,""
1995,5,Anger and Forgiveness,"Former Harpers magazine editor and TAL contributor Jack Hitt wrote an editorial about Susan Smith, who murdered her two children in South Carolina. The editorial redirected the rage from Smith toward Hitt. One of the countless angered readers of Hitt's piece gets a chance to confront him about his plea for forgiveness for Susan Smith. (15 minutes)

Performance artists Iris Moore and Larry Steeger provide monologues on forgiveness. Larry's was based on the testimony of serial murderer Jeffrey Dahmer.

In the last few years, laws and sentencing guidelines have become much harsher. Sociologically this has had some good effects. Chicago attorney Darron Bowden presents a more negative effect to such inflexibility in the case of the sentencing of one 13-year-old boy. (6 minutes)

Glen Fitzgerald, a Chicago missionary who works with gang members, talks about his concept of forgiveness, and how important it is to being Christian. (9 minutes)

A story by Cheryl Trykv, read by the author in front of a live audience at The Hothouse, illustrates what it means when the sinner makes no attempt to seek forgiveness. (14 minutes)

",60,"Dec 15, 1995",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=5,""
1995,6,Christmas,"A Christmas tree story by Chicago playwright/musician Beau O'Reilly. (14 minutes)

A story about Christmas at Juvenile Court by Chicago novelist/editor Reginald Gibbons. (10 minutes)

Peter Clowney reports on Christmas at the Faith Tabernacle Baptist Church.

Music from Faith Tabernacle Baptist Church all through the hour. (9 minutes)

",60,"Dec 22, 1995",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=6,""
1995,7,Quitting,"Evan Harris was entrenched in her life, stalled and going nowhere both personally and professionally. A silly conversation with a co-worker about the letter ""Q"" led her to start a magazine called Quitter Quarterly. That one conversation changed her life completely. (22 minutes)

A story about quitting by Sandra Tsing Loh. (10 minutes)

Ira explores the question of when it's time to quit a relationship through rare recordings of bickering between roommates—recorded by the next-door neighbors. (9 minutes)

Lisa Buscani reads a two-part story about not being able to quit something or someone. The piece was written for This American Life. (13 minutes)

Dwight Okita reads the poem ""Farewell Samba"" from his book Crossing with the Light.

Ira Glass reads Philip Larkin's poem ""Poetry of Departures."" (3 minutes)

",60,"Dec 29, 1995",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=7,""
1996,8,New Year,"Eighteen-year-old Claudia Perez takes Ira on a tour of her Chicago neighborhood and looks at what 1995 was like for her community. (18 minutes)

Ira talks with Karen Hutt, Director of Religious Education for the First Unitarian Church of Chicago, who one Sunday gave a sermon at the church about her experience as the first black child to integrate the Philadelphia public school system. The sermon inspired a project: Hutt, along with Laura Finnegan, collected an oral history of the experiences of African American members of the congregation about their own experiences as the ""first"" integrators of their neighborhoods or organizations. (31 minutes)

Claudia Perez returns to talk about her year from a more personal perspective. (7 minutes)

",60,"Jan 3, 1996",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=8,""
1996,9,Julia Sweeney,"Julia talks about her brother Michael's cancer. He was diagnosed with non-Hodgkins lymphoma, stage four. He had no insurance. Julia took care of him, and he and her parents moved into her house to be near a cancer treatment center. (25 minutes)

In the second half of the show, she talks about her own cancer — cervical cancer that was diagnosed six months after her brother got sick. Julia eventually turned some of these vignettes into a one-woman show called God Said, Ha!, which Quentin Tarantino made into a movie and Julia released as a book. The comedy club where she performed, Un-Cabaret, is devoted to getting very funny people to tell unusually honest stories. Julia's latest one-woman show is called Letting Go of God, excerpts of which are heard in our episode Godless America. (25 minutes)

",60,"Jan 10, 1996",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=9,""
1996,10,Double Lives,"A talk with a father who's deceiving his own children. (15 minutes)

Sketches from the neo-futurists on the subject of double lives.

 Then, host Ira Glass discovers that his mom is being quoted in national magazines as a ""sexpert."" (12 minutes)

Susan Bergman returns to read an excerpt from her book. (8 minutes)

",60,"Jan 17, 1996",http://www.thisamericanlife.org/Radio_Episode.aspx?episode=10,""
